# F2 ref-literal codemod inventory (deterministic; regenerate with the codemod).
# skip-listed files: tests/asset-ref.test.ts, tests/authoring-rules-injection.test.ts, tests/commands/consolidate/consolidate-wave2-d.test.ts, tests/commands/consolidate/consolidate-writer-fixes.test.ts, tests/commands/consolidate/goldens-consolidate-ops.test.ts, tests/commands/distill/distill-promotion-policy.bench.test.ts, tests/commands/distill/distill-promotion-policy.test.ts, tests/commands/distill/promote-memory.test.ts, tests/commands/distill/promotion-policy-corpus.ts, tests/commands/improve/derived-ref.test.ts, tests/commands/improve/improve-loop-ref-pass.test.ts, tests/commands/improve/preparation-passes.test.ts, tests/commands/improve/proactive-maintenance.test.ts, tests/commands/improve/proposal-envelope.test.ts, tests/commands/remember.test.ts, tests/core/adapter/akm-presentation.test.ts, tests/core/frontmatter/write-salience.test.ts, tests/fixtures/stashes/curate-golden/judgments.json, tests/integration/belief-state-phase1a.test.ts, tests/integration/capture-cli.test.ts, tests/integration/commands/consolidate/consolidate-incremental.test.ts, tests/integration/commands/consolidate/consolidate-op-handlers.test.ts, tests/integration/commands/consolidate/consolidate-promote-dedup.test.ts, tests/integration/commands/distill/distill-response-schema.test.ts, tests/integration/commands/events.test.ts, tests/integration/commands/graph.test.ts, tests/integration/commands/history.test.ts, tests/integration/commands/import.test.ts, tests/integration/commands/improve-distill-planner-skip-lessons.test.ts, tests/integration/commands/improve-memory-misc.test.ts, tests/integration/commands/improve-memory.test.ts, tests/integration/commands/improve-path-exists-guard.test.ts, tests/integration/commands/improve-reflect-unsupported-type-skip.test.ts, tests/integration/commands/improve/collapse-detector.test.ts, tests/integration/commands/improve/engine-plan-boundaries.test.ts, tests/integration/commands/improve/improve-eligibility.test.ts, tests/integration/commands/improve/improve-planned-filepath.test.ts, tests/integration/commands/improve/improve-triage-prepass.test.ts, tests/integration/commands/improve/outcome-loop-wiring.test.ts, tests/integration/commands/improve/outcome-loop.test.ts, tests/integration/commands/improve/proactive-maintenance-flow.test.ts, tests/integration/commands/improve/salience-wiring.test.ts, tests/integration/commands/nested-asset-name.test.ts, tests/integration/commands/proposal-cli-envelope.test.ts, tests/integration/commands/proposal-cli.test.ts, tests/integration/commands/reflect-propose-cli.test.ts, tests/integration/commands/reflect/reflect-pipeline-fixes.test.ts, tests/integration/commands/reflect/reflect-propose.test.ts, tests/integration/commands/remember-import-supersedes.test.ts, tests/integration/commands/remember-import-xref.test.ts, tests/integration/commands/search-exclude-sessions.test.ts, tests/integration/commands/show.test.ts, tests/integration/contracts/ref-resolver-contract.test.ts, tests/integration/curate-command.test.ts, tests/integration/curate-golden-eval.test.ts, tests/integration/curate-search-for-curation.test.ts, tests/integration/distill.test.ts, tests/integration/env-path-run.test.ts, tests/integration/extract-command.test.ts, tests/integration/feedback-command.test.ts, tests/integration/get-retrieval-counts.test.ts, tests/integration/git-source-safety.test.ts, tests/integration/goldens-search-filter-behavior.test.ts, tests/integration/graph-boost-ranking.test.ts, tests/integration/indexer/durable-state-survival.test.ts, tests/integration/indexer/relink-usage-events.test.ts, tests/integration/indexer/usage-event-rekey.test.ts, tests/integration/lint-mv-ref-dual-grammar.test.ts, tests/integration/memory-inference.test.ts, tests/integration/mv-durable-recovery.test.ts, tests/integration/proposal-storage-sqlite.test.ts, tests/integration/proposal-stuck-repair.test.ts, tests/integration/proposals-validation.test.ts, tests/integration/proposals.test.ts, tests/integration/ranking-salience-boost.test.ts, tests/integration/registry-build-index.test.ts, tests/integration/relink-source-identity.test.ts, tests/integration/remember-frontmatter.test.ts, tests/integration/search-convention-fact-demotion.test.ts, tests/integration/search-derived-memory.test.ts, tests/integration/search-ref-prefix.test.ts, tests/integration/session-indexing.test.ts, tests/integration/session-logs-providers.test.ts, tests/integration/show-indexer-parity.test.ts, tests/integration/source-clone.test.ts, tests/integration/source.test.ts, tests/integration/storage/usage-events-queries.characterization.test.ts, tests/integration/storage/workflow-runs-repository.characterization.test.ts, tests/integration/tasks-runner.test.ts, tests/integration/workflow-cli.test.ts, tests/integration/workflow-path-escape.test.ts, tests/integration/workflows/brief.test.ts, tests/integration/workflows/chaos.test.ts, tests/integration/workflows/create-yaml-roundtrip.test.ts, tests/integration/write-source.test.ts, tests/resolve-ref.test.ts, tests/setup/detected-engines.test.ts, tests/tasks-parser.test.ts
# TOTAL rewritten=0 skipped-origin=3 skipped-ambiguous=220 files-touched=0
# path	rewritten	skipped-origin	skipped-ambiguous
tests/agent/harness-openhands.test.ts	0	0	2
tests/commands/consolidate/consolidate-response-schema.test.ts	0	0	1
tests/commands/consolidate/consolidate-wave2-e.test.ts	0	0	1
tests/commands/goldens-cli-health-tasks.test.ts	0	0	1
tests/commands/improve/improve-maintenance-passes.test.ts	0	0	2
tests/contracts/configuration.test.ts	0	0	1
tests/core/adapter/akm-validate.test.ts	0	0	3
tests/core/asset-serialize.test.ts	0	0	1
tests/env-secret-tokens.test.ts	0	0	11
tests/fixtures/format-family-goldens/akm-task/renderer.json	0	0	1
tests/fixtures/format-family-goldens/dotenv/lint.json	0	0	3
tests/fixtures/format-family-goldens/dotenv/renderer.json	0	0	1
tests/integration/akm-eval-reflect-quality.test.ts	0	0	2
tests/integration/commands/consolidate/consolidate-chunks.test.ts	0	0	9
tests/integration/commands/env-set-unset.test.ts	0	0	1
tests/integration/commands/graph-cli-envelope.test.ts	0	0	2
tests/integration/commands/graph-update.test.ts	0	0	2
tests/integration/commands/health-minting-rollup.test.ts	0	0	2
tests/integration/commands/improve/consolidate-min-pool-size.test.ts	0	0	2
tests/integration/commands/improve/extract-min-new-sessions.test.ts	0	0	1
tests/integration/commands/improve/improve-dry-run-side-effects.test.ts	0	0	2
tests/integration/commands/improve/monitor-liveness.test.ts	0	0	1
tests/integration/commands/scope-flags.test.ts	0	0	4
tests/integration/commands/tasks-cli-envelope.test.ts	0	0	1
tests/integration/commands/tasks-lifecycle.test.ts	0	0	17
tests/integration/commands/workflow-driver-cli.test.ts	0	2	2
tests/integration/env-run-dangerous-key-block.test.ts	0	1	0
tests/integration/env-run.test.ts	0	0	3
tests/integration/env-traversal.test.ts	0	0	4
tests/integration/env.test.ts	0	0	1
tests/integration/extract-session-tracking.test.ts	0	0	18
tests/integration/file-context.test.ts	0	0	8
tests/integration/goldens-minting-oracle.test.ts	0	0	3
tests/integration/graph-extraction-batch.test.ts	0	0	1
tests/integration/graph-extraction-queue.test.ts	0	0	1
tests/integration/graph-extraction-topn.test.ts	0	0	1
tests/integration/graph-lazy-show-curate.test.ts	0	0	1
tests/integration/health-html-report.test.ts	0	0	1
tests/integration/indexer/body-opening-index-state.test.ts	0	0	1
tests/integration/indexer/index-db-version-preserve.test.ts	0	0	1
tests/integration/indexer/index-written-assets.test.ts	0	0	1
tests/integration/install-script.test.ts	0	0	1
tests/integration/llm-enrichment-cache.test.ts	0	0	1
tests/integration/metadata.test.ts	0	0	1
tests/integration/output-baseline-graph.test.ts	0	0	2
tests/integration/published-task-upgrade.test.ts	0	0	9
tests/integration/ranking-regression.test.ts	0	0	8
tests/integration/registry-search.test.ts	0	0	5
tests/integration/scoped-utility.test.ts	0	0	4
tests/integration/secret-path-run.test.ts	0	0	1
tests/integration/source-resolve.test.ts	0	0	1
tests/integration/standards-prompt-injection.test.ts	0	0	1
tests/integration/tasks-legacy-md-warning.test.ts	0	0	3
tests/integration/tasks-run-attempt-observability.test.ts	0	0	5
tests/integration/tasks-run-startup.test.ts	0	0	1
tests/integration/utility-scoring.test.ts	0	0	8
tests/integration/workflows/checkin-surfacing.test.ts	0	0	1
tests/integration/workflows/complete-summary.test.ts	0	0	1
tests/integration/workflows/conformance/conformance.test.ts	0	0	1
tests/integration/workflows/conformance/driver-parity.test.ts	0	0	1
tests/integration/workflows/fuzz/replay-fuzz.test.ts	0	0	1
tests/integration/workflows/gate-artifacts.test.ts	0	0	2
tests/integration/workflows/indexer-rejection.test.ts	0	0	3
tests/integration/workflows/native-executor.test.ts	0	0	4
tests/integration/workflows/program-parser.test.ts	0	0	1
tests/integration/workflows/report.test.ts	0	0	3
tests/integration/workflows/run-units.test.ts	0	0	1
tests/integration/workflows/status-units.test.ts	0	0	1
tests/integration/workflows/step-work.test.ts	0	0	2
tests/integration/worktree-isolation.test.ts	0	0	1
tests/llm/memory-infer.test.ts	0	0	2
tests/output-registry.test.ts	0	0	2
tests/output-shapes-unit.test.ts	0	0	9
tests/session-logs-pre-filter.test.ts	0	0	3
tests/tasks-embedded.test.ts	0	0	1
tests/tasks-schtasks-backend.test.ts	0	0	5
tests/workflow-markdown.test.ts	0	0	3
